Sample in Buffer,Sample in Window,TRIGGER,slc3/cpu/cpu_control/state[4:0],run_i_IBUF
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
508,508,0,"s_33_2",1
509,509,0,"s_33_3",1
510,510,0,"s_35",1
511,511,0,"s_32",1
512,512,1,"s_0",0
513,513,0,"s_18",0
514,514,0,"s_33_1",0
515,515,0,"s_33_2",0
516,516,0,"s_33_3",0
517,517,0,"s_35",0
518,518,0,"s_32",0
519,519,0,"s_0",0
520,520,0,"s_18",0
521,521,0,"s_33_1",0
522,522,0,"s_33_2",0
523,523,0,"s_33_3",0
524,524,0,"s_35",0
525,525,0,"s_32",0
526,526,0,"s_0",0
527,527,0,"s_18",0
528,528,0,"s_33_1",0
529,529,0,"s_33_2",0
530,530,0,"s_33_3",0
531,531,0,"s_35",0
532,532,0,"s_32",0
533,533,0,"s_0",0
534,534,0,"s_18",0
535,535,0,"s_33_1",0
536,536,0,"s_33_2",0
537,537,0,"s_33_3",0
538,538,0,"s_35",0
539,539,0,"s_32",0
540,540,0,"s_0",0
541,541,0,"s_18",0
542,542,0,"s_33_1",0
543,543,0,"s_33_2",0
544,544,0,"s_33_3",0
545,545,0,"s_35",0
546,546,0,"s_32",0
547,547,0,"s_0",0
548,548,0,"s_18",0
549,549,0,"s_33_1",0
550,550,0,"s_33_2",0
551,551,0,"s_33_3",0
552,552,0,"s_35",0
553,553,0,"s_32",0
554,554,0,"s_0",0
555,555,0,"s_18",0
556,556,0,"s_33_1",0
557,557,0,"s_33_2",0
558,558,0,"s_33_3",0
559,559,0,"s_35",0
560,560,0,"s_32",0
561,561,0,"s_0",0
562,562,0,"s_18",0
563,563,0,"s_33_1",0
564,564,0,"s_33_2",0
565,565,0,"s_33_3",0
566,566,0,"s_35",0
567,567,0,"s_32",0
568,568,0,"s_0",0
569,569,0,"s_18",0
570,570,0,"s_33_1",0
571,571,0,"s_33_2",0
572,572,0,"s_33_3",0
573,573,0,"s_35",0
574,574,0,"s_32",0
575,575,0,"s_0",0
576,576,0,"s_18",0
577,577,0,"s_33_1",0
578,578,0,"s_33_2",0
579,579,0,"s_33_3",0
580,580,0,"s_35",0
581,581,0,"s_32",0
582,582,0,"s_0",0
583,583,0,"s_18",0
584,584,0,"s_33_1",0
585,585,0,"s_33_2",0
586,586,0,"s_33_3",0
587,587,0,"s_35",0
588,588,0,"s_32",0
589,589,0,"s_0",0
590,590,0,"s_18",0
591,591,0,"s_33_1",0
592,592,0,"s_33_2",0
593,593,0,"s_33_3",0
594,594,0,"s_35",0
595,595,0,"s_32",0
596,596,0,"s_0",0
597,597,0,"s_18",0
598,598,0,"s_33_1",0
599,599,0,"s_33_2",0
600,600,0,"s_33_3",0
601,601,0,"s_35",0
602,602,0,"s_32",0
603,603,0,"s_0",0
604,604,0,"s_18",0
605,605,0,"s_33_1",0
606,606,0,"s_33_2",0
607,607,0,"s_33_3",0
608,608,0,"s_35",0
609,609,0,"s_32",0
610,610,0,"s_0",0
611,611,0,"s_18",0
612,612,0,"s_33_1",0
613,613,0,"s_33_2",0
614,614,0,"s_33_3",0
615,615,0,"s_35",0
616,616,0,"s_32",0
617,617,0,"s_0",0
618,618,0,"s_18",0
619,619,0,"s_33_1",0
620,620,0,"s_33_2",0
621,621,0,"s_33_3",0
622,622,0,"s_35",0
623,623,0,"s_32",0
624,624,0,"s_0",0
625,625,0,"s_18",0
626,626,0,"s_33_1",0
627,627,0,"s_33_2",0
628,628,0,"s_33_3",0
629,629,0,"s_35",0
630,630,0,"s_32",0
631,631,0,"s_0",0
632,632,0,"s_18",0
633,633,0,"s_33_1",0
634,634,0,"s_33_2",0
635,635,0,"s_33_3",0
636,636,0,"s_35",0
637,637,0,"s_32",0
638,638,0,"s_0",0
639,639,0,"s_18",0
640,640,0,"s_33_1",0
641,641,0,"s_33_2",0
642,642,0,"s_33_3",0
643,643,0,"s_35",0
644,644,0,"s_32",0
645,645,0,"s_0",0
646,646,0,"s_18",0
647,647,0,"s_33_1",0
648,648,0,"s_33_2",0
649,649,0,"s_33_3",0
650,650,0,"s_35",0
651,651,0,"s_32",0
652,652,0,"s_0",0
653,653,0,"s_18",0
654,654,0,"s_33_1",0
655,655,0,"s_33_2",0
656,656,0,"s_33_3",0
657,657,0,"s_35",0
658,658,0,"s_32",0
659,659,0,"s_0",0
660,660,0,"s_18",0
661,661,0,"s_33_1",0
662,662,0,"s_33_2",0
663,663,0,"s_33_3",0
664,664,0,"s_35",0
665,665,0,"s_32",0
666,666,0,"s_0",0
667,667,0,"s_18",0
668,668,0,"s_33_1",0
669,669,0,"s_33_2",0
670,670,0,"s_33_3",0
671,671,0,"s_35",0
672,672,0,"s_32",0
673,673,0,"s_0",0
674,674,0,"s_18",0
675,675,0,"s_33_1",0
676,676,0,"s_33_2",0
677,677,0,"s_33_3",0
678,678,0,"s_35",0
679,679,0,"s_32",0
680,680,0,"s_0",0
681,681,0,"s_18",0
682,682,0,"s_33_1",0
683,683,0,"s_33_2",0
684,684,0,"s_33_3",0
685,685,0,"s_35",0
686,686,0,"s_32",0
687,687,0,"s_0",0
688,688,0,"s_18",0
689,689,0,"s_33_1",0
690,690,0,"s_33_2",0
691,691,0,"s_33_3",0
692,692,0,"s_35",0
693,693,0,"s_32",0
694,694,0,"s_0",0
695,695,0,"s_18",0
696,696,0,"s_33_1",0
697,697,0,"s_33_2",0
698,698,0,"s_33_3",0
699,699,0,"s_35",0
700,700,0,"s_32",0
701,701,0,"s_0",0
702,702,0,"s_18",0
703,703,0,"s_33_1",0
704,704,0,"s_33_2",0
705,705,0,"s_33_3",0
706,706,0,"s_35",0
707,707,0,"s_32",0
708,708,0,"s_0",0
709,709,0,"s_18",0
710,710,0,"s_33_1",0
711,711,0,"s_33_2",0
712,712,0,"s_33_3",0
713,713,0,"s_35",0
714,714,0,"s_32",0
715,715,0,"s_0",0
716,716,0,"s_18",0
717,717,0,"s_33_1",0
718,718,0,"s_33_2",0
719,719,0,"s_33_3",0
720,720,0,"s_35",0
721,721,0,"s_32",0
722,722,0,"s_0",0
723,723,0,"s_18",0
724,724,0,"s_33_1",0
725,725,0,"s_33_2",0
726,726,0,"s_33_3",0
727,727,0,"s_35",0
728,728,0,"s_32",0
729,729,0,"s_0",0
730,730,0,"s_18",0
731,731,0,"s_33_1",0
732,732,0,"s_33_2",0
733,733,0,"s_33_3",0
734,734,0,"s_35",0
735,735,0,"s_32",0
736,736,0,"s_0",0
737,737,0,"s_18",0
738,738,0,"s_33_1",0
739,739,0,"s_33_2",0
740,740,0,"s_33_3",0
741,741,0,"s_35",0
742,742,0,"s_32",0
743,743,0,"s_0",0
744,744,0,"s_18",0
745,745,0,"s_33_1",0
746,746,0,"s_33_2",0
747,747,0,"s_33_3",0
748,748,0,"s_35",0
749,749,0,"s_32",0
